"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2892","test_declined_login[chromium-STANDARD_USER-secret_sauce-Epic sadface: Username and password do not match any user in this service]","tests.ui","Thu Jul 10 20:48:38 GMT 2025","passed","Thu Jul 10 20:48:41 GMT 2025","","test_decline_login","",""
"","81","test_get_user","tests.api","Thu Jul 10 20:46:38 GMT 2025","passed","Thu Jul 10 20:46:38 GMT 2025","","test_get_user","",""
"","8949","test_successful_login[chromium-performance_glitch_user-secret_sauce]","tests.ui","Thu Jul 10 20:47:44 GMT 2025","passed","Thu Jul 10 20:47:53 GMT 2025","","test_successful_login","",""
"","2924","test_declined_login[chromium-standard_user--Epic sadface: Password is required]","tests.ui","Thu Jul 10 20:48:15 GMT 2025","passed","Thu Jul 10 20:48:18 GMT 2025","","test_decline_login","",""
"","83","test_get_users","tests.api","Thu Jul 10 20:46:39 GMT 2025","passed","Thu Jul 10 20:46:39 GMT 2025","","test_get_users","",""
"","2927","test_successful_login[chromium-standard_user-secret_sauce]","tests.ui","Thu Jul 10 20:47:58 GMT 2025","passed","Thu Jul 10 20:48:01 GMT 2025","","test_successful_login","",""
"","3927","test_declined_login[chromium-performance_glitch_user-wrong_password-Epic sadface: Username and password do not match any user in this service]","tests.ui","Thu Jul 10 20:48:29 GMT 2025","passed","Thu Jul 10 20:48:33 GMT 2025","","test_decline_login","",""
"","360","test_get_resource_user","tests.api","Thu Jul 10 20:46:39 GMT 2025","passed","Thu Jul 10 20:46:39 GMT 2025","","test_resource_user","",""
"","2808","test_declined_login[chromium-problem_user-wrong_password-Epic sadface: Username and password do not match any user in this service]","tests.ui","Thu Jul 10 20:48:26 GMT 2025","passed","Thu Jul 10 20:48:28 GMT 2025","","test_decline_login","",""
"","3015","test_declined_login[chromium-standard_user - secret_sauce -Epic sadface: Username and password do not match any user in this service]","tests.ui","Thu Jul 10 20:48:50 GMT 2025","passed","Thu Jul 10 20:48:53 GMT 2025","","test_decline_login","",""
"","2828","test_successful_login[chromium-problem_user-secret_sauce]","tests.ui","Thu Jul 10 20:48:11 GMT 2025","passed","Thu Jul 10 20:48:14 GMT 2025","","test_successful_login","",""
"","406","test_create_user","tests.api","Thu Jul 10 20:46:38 GMT 2025","passed","Thu Jul 10 20:46:38 GMT 2025","","test_create_user","",""
"","12138","test_e2e_checkout_information[chromium]","tests.ui","Thu Jul 10 20:47:31 GMT 2025","passed","Thu Jul 10 20:47:43 GMT 2025","","test_e2e","",""
"","3092","test_declined_login[chromium-standard_user-wrong_password-Epic sadface: Username and password do not match any user in this service]","tests.ui","Thu Jul 10 20:46:43 GMT 2025","passed","Thu Jul 10 20:46:46 GMT 2025","","test_decline_login","",""
