"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","335","test_get_resource_users","tests.api","Mon Jul 14 18:36:43 GMT 2025","passed","Mon Jul 14 18:36:44 GMT 2025","","test_resource_users","",""
"","12332","test_e2e_checkout_information[chromium]","tests.ui","Mon Jul 14 18:37:36 GMT 2025","passed","Mon Jul 14 18:37:48 GMT 2025","","test_e2e","",""
"","2946","test_declined_login[chromium-STANDARD_USER-secret_sauce-Epic sadface: Username and password do not match any user in this service]","tests.ui","Mon Jul 14 18:38:44 GMT 2025","passed","Mon Jul 14 18:38:47 GMT 2025","","test_decline_login","",""
"","8305","test_e2e_remove_from_cart[chromium]","tests.ui","Mon Jul 14 18:37:26 GMT 2025","passed","Mon Jul 14 18:37:35 GMT 2025","","test_e2e","",""
"","2819","test_declined_login[chromium-problem_user-wrong_password-Epic sadface: Username and password do not match any user in this service]","tests.ui","Mon Jul 14 18:38:31 GMT 2025","passed","Mon Jul 14 18:38:34 GMT 2025","","test_decline_login","",""
"","3149","test_declined_login[chromium- standard_user -secret_sauce-Epic sadface: Username and password do not match any user in this service]","tests.ui","Mon Jul 14 18:38:51 GMT 2025","passed","Mon Jul 14 18:38:55 GMT 2025","","test_decline_login","",""
"","2763","test_successful_login[chromium-visual_user-secret_sauce]","tests.ui","Mon Jul 14 18:38:04 GMT 2025","passed","Mon Jul 14 18:38:07 GMT 2025","","test_successful_login","",""
"","55","test_get_users","tests.api","Mon Jul 14 18:36:41 GMT 2025","passed","Mon Jul 14 18:36:41 GMT 2025","","test_get_users","",""
"","2637","test_declined_login[chromium-wrong_user-wrong_password-Epic sadface: Username and password do not match any user in this service]","tests.ui","Mon Jul 14 18:38:01 GMT 2025","passed","Mon Jul 14 18:38:03 GMT 2025","","test_decline_login","",""
"","327","test_get_resource_user","tests.api","Mon Jul 14 18:36:43 GMT 2025","passed","Mon Jul 14 18:36:43 GMT 2025","","test_resource_user","",""
"","3049","test_declined_login[chromium-standard_user - secret_sauce -Epic sadface: Username and password do not match any user in this service]","tests.ui","Mon Jul 14 18:38:55 GMT 2025","passed","Mon Jul 14 18:38:59 GMT 2025","","test_decline_login","",""
"","329","test_delete_user","tests.api","Mon Jul 14 18:36:40 GMT 2025","passed","Mon Jul 14 18:36:41 GMT 2025","","test_delete_user","",""
"","369","test_user_not_found","tests.api","Mon Jul 14 18:36:41 GMT 2025","passed","Mon Jul 14 18:36:41 GMT 2025","","test_get_user_not_found","",""
"","362","test_resource_user_not_found","tests.api","Mon Jul 14 18:36:43 GMT 2025","passed","Mon Jul 14 18:36:43 GMT 2025","","test_resource_user_not_found","",""
"","2981","test_successful_login[chromium-standard_user-secret_sauce]","tests.ui","Mon Jul 14 18:37:57 GMT 2025","passed","Mon Jul 14 18:38:00 GMT 2025","","test_successful_login","",""
"","329","test_update_user","tests.api","Mon Jul 14 18:36:44 GMT 2025","passed","Mon Jul 14 18:36:44 GMT 2025","","test_update_user","",""
"","1611","test_declined_login[chromium--secret_sauce-Epic sadface: Username is required]","tests.ui","Mon Jul 14 18:38:08 GMT 2025","passed","Mon Jul 14 18:38:10 GMT 2025","","test_decline_login","",""
"","3155","test_declined_login[chromium-locked_out_user-wrong_password-Epic sadface: Username and password do not match any user in this service]","tests.ui","Mon Jul 14 18:38:40 GMT 2025","passed","Mon Jul 14 18:38:43 GMT 2025","","test_decline_login","",""
"","2672","test_successful_login[chromium-error_user-secret_sauce]","tests.ui","Mon Jul 14 18:38:25 GMT 2025","passed","Mon Jul 14 18:38:27 GMT 2025","","test_successful_login","",""
"","3346","test_delayed_response","tests.api","Mon Jul 14 18:36:37 GMT 2025","passed","Mon Jul 14 18:36:40 GMT 2025","","test_delayed_response","",""
"","9011","test_successful_login[chromium-performance_glitch_user-secret_sauce]","tests.ui","Mon Jul 14 18:38:11 GMT 2025","passed","Mon Jul 14 18:38:20 GMT 2025","","test_successful_login","",""
"","362","test_login_unsuccessful","tests.api","Mon Jul 14 18:36:42 GMT 2025","passed","Mon Jul 14 18:36:42 GMT 2025","","test_login_unsuccessful","",""
"","355","test_login_successful","tests.api","Mon Jul 14 18:36:41 GMT 2025","passed","Mon Jul 14 18:36:42 GMT 2025","","test_login_successful","",""
