"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","0","test_e2e_click_details[chromium]","tests.ui","Mon Jul 07 21:18:45 GMT 2025","broken","Mon Jul 07 21:18:45 GMT 2025","","test_e2e","",""
"","8968","test_successful_login[chromium-performance_glitch_user-secret_sauce]","tests.ui","Mon Jul 07 21:19:02 GMT 2025","passed","Mon Jul 07 21:19:11 GMT 2025","","test_successful_login","",""
"","2016","test_declined_login[chromium-abcd-secret_sauce-Epic sadface: Username and password do not match any user in this service]","tests.ui","Mon Jul 07 21:19:19 GMT 2025","passed","Mon Jul 07 21:19:21 GMT 2025","","test_decline_login","",""
"","31957","test_validate_checkout_information[chromium]","tests.ui","Mon Jul 07 21:18:07 GMT 2025","broken","Mon Jul 07 21:18:39 GMT 2025","","test_checkout_information","",""
"","77","test_get_user_by_id","tests.api","Mon Jul 07 21:17:58 GMT 2025","passed","Mon Jul 07 21:17:58 GMT 2025","","test_get_user","",""
"","2739","test_successful_login[chromium-error_user-secret_sauce]","tests.ui","Mon Jul 07 21:18:46 GMT 2025","passed","Mon Jul 07 21:18:49 GMT 2025","","test_successful_login","",""
"","63","test_get_users","tests.api","Mon Jul 07 21:17:58 GMT 2025","passed","Mon Jul 07 21:17:58 GMT 2025","","test_get_users","",""
"","2916","test_declined_login[chromium-standard_user--Epic sadface: Password is required]","tests.ui","Mon Jul 07 21:18:50 GMT 2025","passed","Mon Jul 07 21:18:53 GMT 2025","","test_decline_login","",""
"","2735","test_successful_login[chromium-visual_user-secret_sauce]","tests.ui","Mon Jul 07 21:19:15 GMT 2025","passed","Mon Jul 07 21:19:18 GMT 2025","","test_successful_login","",""
"","201","test_user_not_found","tests.api","Mon Jul 07 21:17:58 GMT 2025","failed","Mon Jul 07 21:17:58 GMT 2025","","test_get_user_not_found","",""
"","1638","test_declined_login[chromium--secret_sauce-Epic sadface: Username is required]","tests.ui","Mon Jul 07 21:18:42 GMT 2025","passed","Mon Jul 07 21:18:44 GMT 2025","","test_decline_login","",""
"","3141","test_declined_login[chromium-locked_out_user-secret_sauce-Epic sadface: Sorry, this user has been locked out.]","tests.ui","Mon Jul 07 21:18:58 GMT 2025","passed","Mon Jul 07 21:19:01 GMT 2025","","test_decline_login","",""
"","2924","test_declined_login[chromium-standard_user-1234-Epic sadface: Username and password do not match any user in this service]","tests.ui","Mon Jul 07 21:19:12 GMT 2025","passed","Mon Jul 07 21:19:14 GMT 2025","","test_decline_login","",""
"","0","test_e2e_successful_order[chromium]","tests.ui","Mon Jul 07 21:18:44 GMT 2025","broken","Mon Jul 07 21:18:44 GMT 2025","","test_e2e","",""
"","2937","test_successful_login[chromium-standard_user-secret_sauce]","tests.ui","Mon Jul 07 21:19:22 GMT 2025","passed","Mon Jul 07 21:19:25 GMT 2025","","test_successful_login","",""
"","2861","test_successful_login[chromium-problem_user-secret_sauce]","tests.ui","Mon Jul 07 21:18:54 GMT 2025","passed","Mon Jul 07 21:18:57 GMT 2025","","test_successful_login","",""
