"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2858","test_successful_login[chromium-problem_user-secret_sauce]","tests.ui","Tue Jul 08 14:12:15 GMT 2025","passed","Tue Jul 08 14:12:17 GMT 2025","","test_successful_login","",""
"","2780","test_successful_login[chromium-visual_user-secret_sauce]","tests.ui","Tue Jul 08 14:12:34 GMT 2025","passed","Tue Jul 08 14:12:37 GMT 2025","","test_successful_login","",""
"","1603","test_declined_login[chromium--secret_sauce-Epic sadface: Username is required]","tests.ui","Tue Jul 08 14:12:31 GMT 2025","passed","Tue Jul 08 14:12:33 GMT 2025","","test_decline_login","",""
"","8981","test_successful_login[chromium-performance_glitch_user-secret_sauce]","tests.ui","Tue Jul 08 14:12:21 GMT 2025","passed","Tue Jul 08 14:12:30 GMT 2025","","test_successful_login","",""
"","3065","test_declined_login[chromium-standard_user--Epic sadface: Password is required]","tests.ui","Tue Jul 08 14:11:05 GMT 2025","passed","Tue Jul 08 14:11:08 GMT 2025","","test_decline_login","",""
"","0","test_user_not_found","tests.api","Tue Jul 08 14:10:55 GMT 2025","passed","Tue Jul 08 14:10:55 GMT 2025","","test_get_user_not_found","",""
"","12650","test_e2e_remove_from_cart[chromium]","tests.ui","Tue Jul 08 14:11:40 GMT 2025","passed","Tue Jul 08 14:11:53 GMT 2025","","test_e2e","",""
"","2665","test_successful_login[chromium-error_user-secret_sauce]","tests.ui","Tue Jul 08 14:12:07 GMT 2025","passed","Tue Jul 08 14:12:10 GMT 2025","","test_successful_login","",""
"","60","test_get_users","tests.api","Tue Jul 08 14:10:55 GMT 2025","passed","Tue Jul 08 14:10:55 GMT 2025","","test_get_users","",""
"","1987","test_declined_login[chromium-abcd-secret_sauce-Epic sadface: Username and password do not match any user in this service]","tests.ui","Tue Jul 08 14:12:18 GMT 2025","passed","Tue Jul 08 14:12:20 GMT 2025","","test_decline_login","",""
"","3125","test_declined_login[chromium-locked_out_user-secret_sauce-Epic sadface: Sorry, this user has been locked out.]","tests.ui","Tue Jul 08 14:12:38 GMT 2025","passed","Tue Jul 08 14:12:41 GMT 2025","","test_decline_login","",""
"","12157","test_e2e_checkout_information[chromium]","tests.ui","Tue Jul 08 14:11:54 GMT 2025","passed","Tue Jul 08 14:12:06 GMT 2025","","test_e2e","",""
"","17711","test_e2e_click_details[chromium]","tests.ui","Tue Jul 08 14:11:21 GMT 2025","passed","Tue Jul 08 14:11:39 GMT 2025","","test_e2e","",""
"","85","test_get_user_by_id","tests.api","Tue Jul 08 14:10:55 GMT 2025","passed","Tue Jul 08 14:10:55 GMT 2025","","test_get_user","",""
"","2930","test_successful_login[chromium-standard_user-secret_sauce]","tests.ui","Tue Jul 08 14:12:42 GMT 2025","passed","Tue Jul 08 14:12:45 GMT 2025","","test_successful_login","",""
"","11409","test_e2e_successful_order[chromium]","tests.ui","Tue Jul 08 14:11:09 GMT 2025","passed","Tue Jul 08 14:11:20 GMT 2025","","test_e2e","",""
"","2941","test_declined_login[chromium-standard_user-1234-Epic sadface: Username and password do not match any user in this service]","tests.ui","Tue Jul 08 14:12:11 GMT 2025","passed","Tue Jul 08 14:12:14 GMT 2025","","test_decline_login","",""
