"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","210","test_user_not_found","tests.api","Mon Jul 07 19:24:40 GMT 2025","passed","Mon Jul 07 19:24:40 GMT 2025","","test_get_user_not_found","",""
"","0","test_locked_out_user[chromium]","tests.ui","Mon Jul 07 19:24:47 GMT 2025","broken","Mon Jul 07 19:24:47 GMT 2025","","test_decline_login","",""
"","0","test_e2e_successful_order[chromium]","tests.ui","Mon Jul 07 19:24:47 GMT 2025","broken","Mon Jul 07 19:24:47 GMT 2025","","test_e2e","",""
"","0","test_password_missing[chromium]","tests.ui","Mon Jul 07 19:24:47 GMT 2025","broken","Mon Jul 07 19:24:47 GMT 2025","","test_decline_login","",""
"","0","test_username_missing[chromium]","tests.ui","Mon Jul 07 19:24:40 GMT 2025","broken","Mon Jul 07 19:24:40 GMT 2025","","test_decline_login","",""
"","0","test_password_invalid[chromium]","tests.ui","Mon Jul 07 19:24:47 GMT 2025","broken","Mon Jul 07 19:24:47 GMT 2025","","test_decline_login","",""
"","83","test_get_users","tests.api","Mon Jul 07 19:24:40 GMT 2025","passed","Mon Jul 07 19:24:40 GMT 2025","","test_get_users","",""
"","0","test_successful_login[chromium]","tests.ui","Mon Jul 07 19:24:48 GMT 2025","broken","Mon Jul 07 19:24:48 GMT 2025","","test_successful_login","",""
"","0","test_e2e[chromium]","tests.ui","Mon Jul 07 19:24:47 GMT 2025","broken","Mon Jul 07 19:24:47 GMT 2025","","test_e2e","",""
"","0","test_username_invalid[chromium]","tests.ui","Mon Jul 07 19:24:47 GMT 2025","broken","Mon Jul 07 19:24:47 GMT 2025","","test_decline_login","",""
"","137","test_get_user_by_id","tests.api","Mon Jul 07 19:24:39 GMT 2025","passed","Mon Jul 07 19:24:40 GMT 2025","","test_get_user","",""
