"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","18779","test_e2e_successful_order[chromium]","tests.ui","Mon Jul 07 19:40:14 GMT 2025","passed","Mon Jul 07 19:40:33 GMT 2025","","test_e2e","",""
"","2944","test_successful_login[chromium]","tests.ui","Mon Jul 07 19:40:35 GMT 2025","passed","Mon Jul 07 19:40:38 GMT 2025","","test_successful_login","",""
"","341","test_get_users","tests.api","Mon Jul 07 19:39:45 GMT 2025","passed","Mon Jul 07 19:39:45 GMT 2025","","test_get_users","",""
"","0","test_e2e[chromium]","tests.ui","Mon Jul 07 19:40:34 GMT 2025","passed","Mon Jul 07 19:40:34 GMT 2025","","test_e2e","",""
"","3226","test_locked_out_user[chromium]","tests.ui","Mon Jul 07 19:40:10 GMT 2025","passed","Mon Jul 07 19:40:13 GMT 2025","","test_decline_login","",""
"","1699","test_username_missing[chromium]","tests.ui","Mon Jul 07 19:39:56 GMT 2025","passed","Mon Jul 07 19:39:58 GMT 2025","","test_decline_login","",""
"","2919","test_password_invalid[chromium]","tests.ui","Mon Jul 07 19:40:06 GMT 2025","passed","Mon Jul 07 19:40:09 GMT 2025","","test_decline_login","",""
"","351","test_get_user_by_id","tests.api","Mon Jul 07 19:39:44 GMT 2025","passed","Mon Jul 07 19:39:45 GMT 2025","","test_get_user","",""
"","2923","test_password_missing[chromium]","tests.ui","Mon Jul 07 19:39:59 GMT 2025","passed","Mon Jul 07 19:40:02 GMT 2025","","test_decline_login","",""
"","355","test_user_not_found","tests.api","Mon Jul 07 19:39:45 GMT 2025","failed","Mon Jul 07 19:39:45 GMT 2025","","test_get_user_not_found","",""
"","2016","test_username_invalid[chromium]","tests.ui","Mon Jul 07 19:40:03 GMT 2025","passed","Mon Jul 07 19:40:05 GMT 2025","","test_decline_login","",""
