"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","0","test_e2e[chromium]","tests.ui","Mon Jul 07 19:30:56 GMT 2025","passed","Mon Jul 07 19:30:56 GMT 2025","","test_e2e","",""
"","2942","test_successful_login[chromium]","tests.ui","Mon Jul 07 19:30:57 GMT 2025","passed","Mon Jul 07 19:31:00 GMT 2025","","test_successful_login","",""
"","1693","test_username_missing[chromium]","tests.ui","Mon Jul 07 19:30:19 GMT 2025","passed","Mon Jul 07 19:30:21 GMT 2025","","test_decline_login","",""
"","2929","test_password_missing[chromium]","tests.ui","Mon Jul 07 19:30:22 GMT 2025","passed","Mon Jul 07 19:30:25 GMT 2025","","test_decline_login","",""
"","360","test_get_user_by_id","tests.api","Mon Jul 07 19:30:10 GMT 2025","failed","Mon Jul 07 19:30:10 GMT 2025","","test_get_user","",""
"","18611","test_e2e_successful_order[chromium]","tests.ui","Mon Jul 07 19:30:37 GMT 2025","passed","Mon Jul 07 19:30:55 GMT 2025","","test_e2e","",""
"","1998","test_username_invalid[chromium]","tests.ui","Mon Jul 07 19:30:26 GMT 2025","passed","Mon Jul 07 19:30:28 GMT 2025","","test_decline_login","",""
"","3124","test_locked_out_user[chromium]","tests.ui","Mon Jul 07 19:30:33 GMT 2025","passed","Mon Jul 07 19:30:36 GMT 2025","","test_decline_login","",""
"","346","test_get_users","tests.api","Mon Jul 07 19:30:10 GMT 2025","failed","Mon Jul 07 19:30:11 GMT 2025","","test_get_users","",""
"","333","test_user_not_found","tests.api","Mon Jul 07 19:30:10 GMT 2025","passed","Mon Jul 07 19:30:10 GMT 2025","","test_get_user_not_found","",""
"","2939","test_password_invalid[chromium]","tests.ui","Mon Jul 07 19:30:29 GMT 2025","passed","Mon Jul 07 19:30:32 GMT 2025","","test_decline_login","",""
