"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","333","test_user_not_found","tests.api","Mon Jul 07 18:13:57 GMT 2025","failed","Mon Jul 07 18:13:57 GMT 2025","","test_get_user_not_found","",""
"","0","test_password_invalid[chromium]","tests.ui","Mon Jul 07 18:14:10 GMT 2025","broken","Mon Jul 07 18:14:10 GMT 2025","","test_decline_login","",""
"","0","test_e2e_successful_order[chromium]","tests.ui","Mon Jul 07 18:14:10 GMT 2025","broken","Mon Jul 07 18:14:10 GMT 2025","","test_e2e","",""
"","0","test_successful_login[chromium]","tests.ui","Mon Jul 07 18:14:10 GMT 2025","broken","Mon Jul 07 18:14:10 GMT 2025","","test_successful_login","",""
"","0","test_username_missing[chromium]","tests.ui","Mon Jul 07 18:13:57 GMT 2025","broken","Mon Jul 07 18:13:57 GMT 2025","","test_decline_login","",""
"","87","test_get_user_by_id","tests.api","Mon Jul 07 18:13:57 GMT 2025","passed","Mon Jul 07 18:13:57 GMT 2025","","test_get_user","",""
"","0","test_password_missing[chromium]","tests.ui","Mon Jul 07 18:14:09 GMT 2025","broken","Mon Jul 07 18:14:09 GMT 2025","","test_decline_login","",""
"","0","test_e2e[chromium]","tests.ui","Mon Jul 07 18:14:10 GMT 2025","broken","Mon Jul 07 18:14:10 GMT 2025","","test_e2e","",""
"","0","test_locked_out_user[chromium]","tests.ui","Mon Jul 07 18:14:10 GMT 2025","broken","Mon Jul 07 18:14:10 GMT 2025","","test_decline_login","",""
"","1","test_username_invalid[chromium]","tests.ui","Mon Jul 07 18:14:09 GMT 2025","broken","Mon Jul 07 18:14:09 GMT 2025","","test_decline_login","",""
"","60","test_get_users","tests.api","Mon Jul 07 18:13:57 GMT 2025","passed","Mon Jul 07 18:13:57 GMT 2025","","test_get_users","",""
